,artist_genres,count
0,pop,994
1,dance pop,538
2,rap,383
3,pop rap,305
4,hip hop,250
5,r&b,231
6,urban contemporary,214
7,trap,134
8,southern hip hop,132
9,modern rock,128
10,rock,127
11,canadian pop,112
12,edm,110
13,hip pop,98
14,pop dance,92
15,atl hip hop,91
16,uk pop,87
17,neo mellow,85
18,gangster rap,83
19,pop rock,80
20,post-grunge,80
21,post-teen pop,75
22,alternative metal,74
23,dirty south rap,70
24,talent show,69
25,permanent wave,68
26,contemporary r&b,58
27,boy band,55
28,uk dance,51
29,nu metal,45
30,melodic rap,45
31,east coast hip hop,45
32,neo soul,43
33,art pop,40
34,trap latino,40
35,europop,40
36,urbano latino,39
37,british soul,39
38,miami hip hop,39
39,girl group,38
40,reggaeton,38
41,electropop,37
42,pop punk,37
43,electro house,37
44,house,35
45,chicago rap,34
46,canadian hip hop,34
47,country,33
48,progressive house,33
49,indietronica,31
50,alternative rock,30
51,contemporary country,30
52,metropopolis,30
53,country road,29
54,latin pop,28
55,barbadian pop,28
56,viral pop,25
57,pop soul,25
58,old school atlanta hip hop,25
59,,24
60,queens hip hop,24
61,piano rock,24
62,pov: indie,24
63,candy pop,24
64,west coast rap,23
65,detroit hip hop,23
66,crunk,22
67,conscious hip hop,22
68,dance rock,22
69,modern alternative rock,22
70,eurodance,21
71,singer-songwriter pop,21
72,neon pop punk,20
73,canadian contemporary r&b,20
74,funk metal,18
75,progressive electro house,18
76,folk-pop,17
77,garage rock,17
78,australian pop,17
79,hardcore hip hop,16
80,big room,15
81,dfw rap,15
82,trap queen,15
83,k-pop,15
84,rap metal,15
85,slap house,14
86,alt z,14
87,indie rock,14
88,swedish electropop,14
89,south carolina hip hop,14
90,tropical house,13
91,brostep,13
92,australian dance,12
93,mexican pop,12
94,country dawn,12
95,swedish pop,12
96,canadian rock,12
97,lgbtq+ hip hop,12
98,singer-songwriter,12
99,new wave pop,11
100,stomp and holler,11
101,punk,11
102,lilith,11
103,new orleans rap,10
104,indie poptimism,10
105,colombian pop,10
106,g funk,10
107,neo-synthpop,10
108,reggaeton colombiano,9
109,britpop,9
110,disco house,9
111,german techno,9
112,st louis rap,9
113,dancehall,8
114,cali rap,8
115,electronic trap,8
116,pixie,8
117,puerto rican pop,8
118,reggae fusion,8
119,new jack swing,8
120,filter house,8
121,indie pop rap,8
122,philly rap,7
123,k-pop boy group,7
124,virginia hip hop,7
125,acoustic pop,7
126,viral trap,7
127,funk rock,7
128,irish rock,7
129,nz pop,7
130,grime,7
131,baroque pop,7
132,dutch edm,7
133,australian hip hop,7
134,alternative dance,7
135,modern country rock,7
136,swedish synthpop,6
137,jazz pop,6
